nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
UD. Chiko Ilir,Pendidikan,81.0,31.0,5149341.0,26924687.0,Lazada,192.0,Belum Terdaftar,2000.0,21775346.0,336000000.0,192.0
UD. Inten Nirbayu,Jasa,96.0,96.0,1774665.0,33904463.0,Tokopedia,668.0,Terdaftar,2021.0,32129798.0,576000000.0,668.0
UD. Qyla Sudharmo,Jasa,82.0,14.0,8131984.0,38010291.0,Website Sendiri,585.0,Belum Terdaftar,2020.0,29878307.0,288000000.0,585.0
UD. Krisna Sahaja,Kesehatan,72.0,8.0,7186754.0,48782770.0,Website Sendiri,18.0,Terdaftar,2024.0,41596016.0,240000000.0,18.0
UD. Jasmin Segar,Kesehatan,45.0,48.0,2208388.0,46493331.0,Lazada,213.00000000000006,Belum Terdaftar,2023.0,44284943.0,279000000.0,213.0
UD. Rafi Wiraatmaja,Perdagangan,43.0,43.0,9605669.0,48613069.0,Lazada,944.0,Terdaftar,2022.0,39007400.0,258000000.0,944.0
UD. Tiara Hilir,Kesehatan,41.0,80.0,6080211.0,47223993.0,Shopee,692.0,Terdaftar,2003.0,41143782.0,363000000.0,692.0
UD. Jasmine Widuri,Pendidikan,72.0,27.0,7809385.0,39500154.0,Shopee,171.0,Belum Terdaftar,2008.0,31690769.0,297000000.0,171.0
UD. Gani Kusumatmaja,Perdagangan,68.0,44.0,8715338.0,34688253.0,Shopee,468.0,Terdaftar,2018.0,25972915.0,336000000.0,468.0
UD. Desi Agastya,Perdagangan,22.0,12.0,5862070.0,41737497.0,Tokopedia,750.0,Belum Terdaftar,2014.0,35875427.0,102000000.0,750.0
UD. Ari Wiraatmaja,Perdagangan,33.0,46.0,4520339.0,27814913.0,Lazada,328.0,Terdaftar,2018.0,23294574.0,237000000.0,328.0
UD. Uchie Utama,Jasa,21.0,20.000000000000004,4416970.0,43391954.0,Lazada,953.0,Terdaftar,2019.0,38974984.0,123000000.0,953.0
UD. Qasya Tunggal Owen,Kesehatan,68.0,49.0,1128147.9999999995,37478652.0,Lazada,696.0,Belum Terdaftar,2006.0,36350504.0,351000000.0,696.0
UD. Qory Cahyaningrat,Perdagangan,64.0,46.0,7114599.0,46536193.0,Shopee,922.0,Belum Terdaftar,2024.0,39421594.0,330000000.0,922.0
UD. Uci Segar Berlian,Perdagangan,25.0,4.0,1402728.0,19079217.0,Tokopedia,218.0,Belum Terdaftar,2022.0,17676489.0,87000000.0,218.0
UD. Zaki Galuh,Perdagangan,81.0,6.0,4202210.0,28905305.0,Bukalapak,384.0,Terdaftar,2004.0,24703095.0,261000000.0,384.0
UD. Andi Pelangi,Perdagangan,54.0,37.0,5657281.0,32959256.0,Bukalapak,729.0,Terdaftar,2022.0,27301975.0,273000000.0,729.0
UD. Yana Abdi,Jasa,89.0,36.0,5613498.0,27385682.0,Shopee,565.0,Belum Terdaftar,2016.0,21772184.0,375000000.0,565.0
UD. Cahya Ayodya,Jasa,14.0,82.0,7458576.0,16781243.0,Shopee,928.0,Terdaftar,2006.0,9322667.0,288000000.0,928.0
UD. Zainab Kayastha,Pendidikan,65.0,31.0,7582731.0,13402157.0,Lazada,884.0,Belum Terdaftar,2016.0,5819425.999999998,288000000.0,884.0
UD. Yusuf Lintang Ujang,Kesehatan,52.0,55.0,8573189.0,30553968.0,Website Sendiri,817.0,Belum Terdaftar,2003.0,21980779.0,321000000.0,817.0
UD. Putra Persada,Pendidikan,78.0,42.0,2899014.0,45946674.0,Shopee,369.0,Terdaftar,2012.0,43047660.0,360000000.0,369.0
UD. Qasya Alam,Kesehatan,10.0,66.0,5370352.0,27518224.0,Shopee,533.0,Belum Terdaftar,2002.0,22147872.0,228000000.0,533.0
UD. Ari Mulyo,Pendidikan,57.0,98.0,3294568.0,33590365.0,Bukalapak,224.0,Belum Terdaftar,2017.0,30295797.0,465000000.0,224.0
UD. Celsi Setia,Kesehatan,83.0,26.0,7020927.0,34277899.0,Shopee,316.0,Belum Terdaftar,2007.0,27256972.0,327000000.0,316.0
UD. Yusuf Resaputra,Perdagangan,41.0,50.0,1637643.0,9860470.599999998,Website Sendiri,732.0,Belum Terdaftar,2016.0,6499181.0,273000000.0,732.0
UD. Habib Pagi,Pendidikan,80.0,47.0,8866925.0,43825812.0,Tidak Ada,827.0,Terdaftar,2004.0,34958887.0,381000000.0,827.0
UD. Gani Galuh,Perdagangan,68.0,71.0,2381610.0,45397859.0,Website Sendiri,489.0,Belum Terdaftar,2000.0,43016249.0,417000000.0,489.0
UD. Jihan Kelana,Pendidikan,32.0,52.0,7270738.0,49106151.0,Tokopedia,714.0,Terdaftar,2011.2,41835413.0,252000000.0,714.0
UD. Dora Jayengpati,Pendidikan,43.0,82.0,7484242.0,10229082.999999998,Shopee,600.0,Belum Terdaftar,2010.0,2744841.0,375000000.0,600.0
UD. Cakra Dharma,Perdagangan,88.0,93.0,4876111.0,29700768.0,Shopee,441.0,Terdaftar,2018.0,24824657.0,543000000.0,441.0
UD. Miko Maheswara,Kesehatan,6.0,47.0,9896175.0,15893741.0,Website Sendiri,545.0,Belum Terdaftar,2021.0,5997566.0,159000000.0,545.0
UD. Bagir Anindita Abdi,Pendidikan,97.0,9.0,3215427.0,22038441.8,Tokopedia,710.0,Terdaftar,2011.0,16530644.0,318000000.0,710.0
UD. Cinta Gatra,Perdagangan,78.0,93.0,2417769.0,18208651.0,Lazada,63.0,Terdaftar,2022.0,15790882.0,513000000.0,63.0
UD. Icha Jayawarsa,Perdagangan,51.0,8.0,3311217.0,7236897.0,Website Sendiri,62.0,Belum Terdaftar,2011.0,3925680.0,177000000.0,62.0
UD. Kirana Cahaya,Jasa,12.0,85.0,2469843.0,32451129.0,Bukalapak,314.0,Belum Terdaftar,2000.0,29981286.0,291000000.0,314.0
UD. Reza Saputra,Kesehatan,31.0,94.0,6881654.0,32925913.0,Tokopedia,133.0,Terdaftar,2010.0,26044259.0,375000000.0,133.0
UD. Abdi Atma,Pendidikan,38.0,45.0,2728092.0,27592581.0,Lazada,894.0,Terdaftar,2012.0,24864489.0,249000000.0,894.0
UD. Hanafi Tunggul,Jasa,77.0,9.0,1787215.0,18241284.0,Tokopedia,867.0,Terdaftar,2009.0,16454069.0,258000000.0,867.0
UD. Isna Berkarya,Kesehatan,62.0,35.0,2779266.0,33249942.0,Bukalapak,177.0,Belum Terdaftar,2022.0,30470676.0,291000000.0,177.0
UD. Willy Hastinapura,Kesehatan,19.0,9.0,6355032.0,14505389.0,Tokopedia,904.0,Terdaftar,2011.0,8150357.0,84000000.0,904.0
UD. Nara Satriya,Perdagangan,15.0,26.0,9958336.0,36956255.0,Website Sendiri,929.0,Terdaftar,2014.0,26997919.0,123000000.0,929.0
UD. Kanza Kusumasari,Kesehatan,29.0,78.0,4173893.0,21103353.0,Website Sendiri,979.0,Terdaftar,2014.0,16929460.0,321000000.0,979.0
UD. Pardi Anindita,Perdagangan,18.000000000000004,18.0,3747130.0,9327500.0,Tokopedia,975.0,Terdaftar,2011.0,5580370.0,108000000.0,975.0
UD. Ony Praja,Kesehatan,85.0,10.0,9434905.0,17722814.0,Shopee,459.0,Belum Terdaftar,2023.0,8287909.0,285000000.0,459.0
UD. Taufan Harmoni,Pendidikan,73.0,31.0,8143943.0,23778088.0,Tokopedia,902.0,Belum Terdaftar,2016.0,15634145.0,312000000.0,902.0
UD. Umar Jati,Kesehatan,71.0,18.999999999999996,3083364.0,46478043.0,Website Sendiri,43.0,Terdaftar,2015.0,43394679.0,270000000.0,43.0
UD. Salwa Prajurit,Pendidikan,92.0,45.0,3383662.0,12307872.0,Lazada,923.0,Terdaftar,2002.0,8924210.0,411000000.0,923.0
UD. Bulan Putri,Perdagangan,84.19999999999999,59.0,7662277.0,13232647.0,Tokopedia,353.0,Terdaftar,2015.0,5570370.0,408000000.0,353.0
UD. Ari Sulaksana,Kesehatan,74.0,78.0,1630044.0,22146831.0,Bukalapak,469.0,Terdaftar,2007.0,20516787.0,456000000.0,469.0
UD. Gracia Wangi,Kesehatan,29.0,67.0,3157872.0,26308022.0,Bukalapak,673.0,Belum Terdaftar,2015.0,23150150.0,288000000.0,673.0
UD. Koko Saputranegara Intan,Perdagangan,96.0,16.0,8313679.0,42693478.0,Lazada,81.0,Terdaftar,2021.0,34379799.0,336000000.0,81.0
UD. Cici Prajurit,Jasa,33.0,64.0,1744192.0,9640991.000000002,Lazada,138.0,Terdaftar,2017.0,7896799.0,291000000.0,138.0
UD. Galang Jatiwangi,Kesehatan,38.0,56.0,8860465.0,29471436.0,Lazada,694.0,Terdaftar,2017.0,20610971.0,282000000.0,694.0
UD. Syana Agung,Pendidikan,48.0,18.0,5455171.0,18595449.0,Lazada,930.0,Belum Terdaftar,2021.0,13140278.0,198000000.0,930.0
UD. Zahra Pusaka,Perdagangan,4.0,4.0,1058978.0,48186834.0,Tokopedia,19.0,Terdaftar,2015.0,47127856.0,24000000.0,19.0
UD. Gracia Tunggal,Kesehatan,42.0,81.0,6326402.0,29616906.0,Lazada,109.0,Terdaftar,2014.0,23290504.0,369000000.0,109.0
UD. Maudy Tunggul,Jasa,46.0,80.0,5822782.0,48809370.0,Lazada,306.0,Belum Terdaftar,2022.0,42986588.0,378000000.0,306.0
UD. Hasna Manik,Kesehatan,58.0,54.0,2022708.0,43746575.0,Shopee,528.0,Terdaftar,2002.0,41723867.0,336000000.0,528.0
UD. Eka Permai,Perdagangan,68.0,3.0,7104415.0,41452242.0,Bukalapak,828.0,Belum Terdaftar,2006.0,34347827.0,213000000.0,828.0
UD. Made Tunggul,Jasa,16.0,51.0,9431684.0,25336349.0,Tokopedia,614.0,Terdaftar,2007.0,15904665.0,201000000.0,614.0
UD. Ovan Karya,Jasa,18.000000000000004,18.0,8486465.0,45381494.0,Website Sendiri,803.0,Terdaftar,2019.0,36895029.0,108000000.0,803.0
UD. Yolanda Harapan,Perdagangan,45.0,30.0,2483672.0,6446394.0,Shopee,499.0,Belum Terdaftar,2017.0,3962722.0,225000000.0,499.0
UD. Cahya Nirbayu,Perdagangan,55.0,2.0,6769696.0,40188329.0,Shopee,748.0,Terdaftar,2004.0,33418633.0,171000000.0,748.0
UD. Fikra Prabawa,Pendidikan,25.0,66.0,5358166.0,49797328.0,Website Sendiri,169.0,Terdaftar,2004.0,44439162.0,273000000.0,169.0
UD. Vidi Swargaloka,Perdagangan,65.0,28.0,9583414.0,10937853.000000002,Shopee,699.0,Belum Terdaftar,2012.0,1354439.0,279000000.0,699.0
UD. Qisya Wibawa,Jasa,13.0,52.0,2269066.0000000005,8953373.000000002,Tokopedia,128.0,Belum Terdaftar,2008.0,6684307.0,195000000.0,128.0
UD. Joko Baruna,Pendidikan,51.0,7.0,2256772.9999999995,35480092.0,Bukalapak,817.0,Belum Terdaftar,2012.0,33223319.0,174000000.0,817.0
UD. Gisel Trijaya,Kesehatan,91.0,4.0,5196432.0,33434985.0,Lazada,105.0,Terdaftar,2016.0,28238553.0,285000000.0,105.0
UD. Pandu Bintang,Jasa,3.0,63.0,4772458.0,49206721.0,Shopee,810.0,Terdaftar,2013.0,44434263.0,198000000.0,810.0
UD. Cici Sangkala,Perdagangan,2.0,94.0,6485254.0,21024303.0,Tokopedia,512.0,Terdaftar,2012.0,14539049.0,288000000.0,512.0
UD. Koko Tirtayasa,Kesehatan,74.39999999999999,26.0,5106767.0,10084993.999999998,Shopee,859.0,Belum Terdaftar,2001.0,4978227.000000002,312000000.0,859.0
UD. Tiara Tejakusuma,Kesehatan,21.0,32.0,8752819.0,23946816.0,Tokopedia,368.0,Terdaftar,2020.0,15193997.0,159000000.0,368.0
UD. Jibril Mandala,Kesehatan,49.0,57.0,7934596.0,1526468.0,Shopee,95.0,Terdaftar,2009.0,-6408128.0,318000000.0,95.00000000000006
UD. Fanny Hastinapura,Kesehatan,63.0,61.0,7778470.0,34377632.0,Tokopedia,280.0,Belum Terdaftar,2006.0,26599162.0,372000000.0,251.79999999999998
UD. Cahya Pagi,Pendidikan,82.0,81.0,4749698.0,6282173.0,Lazada,242.0,Belum Terdaftar,2013.0,1532475.0,489000000.0,242.0
UD. Iman Ilir,Pendidikan,97.0,87.0,6818721.0,6032593.0,Tokopedia,928.0,Terdaftar,2003.0,-786128.0,552000000.0,928.0
UD. Grego Jati Kamil,Kesehatan,9.0,25.0,1045017.9999999995,10868285.999999998,Website Sendiri,114.0,Belum Terdaftar,2015.0,9823268.0,102000000.0,114.0
UD. Zera Kusumasari,Pendidikan,55.0,94.0,9691719.0,45482627.0,Tidak Ada,494.0,Belum Terdaftar,2014.0,35790908.0,447000000.0,494.0
UD. Leni Satya,Perdagangan,97.0,13.0,7505192.0,1680808.0,Lazada,149.99999999999994,Terdaftar,2007.0,-5824384.0,330000000.0,150.0
UD. Rafi Anggrek,Kesehatan,15.0,88.0,7263129.0,34579481.0,Shopee,31.0,Belum Terdaftar,2006.0,27316352.0,309000000.0,31.0
UD. Tomi Prajurit,Kesehatan,36.0,31.0,1444426.0,20852053.0,Tokopedia,95.0,Belum Terdaftar,2013.0,19407627.0,201000000.0,95.00000000000006
UD. Xenia Mandiri Qomar,Perdagangan,99.0,40.0,6760576.0,23973213.0,Shopee,841.0,Terdaftar,2003.0,17212637.0,417000000.0,841.0
UD. Harun Hilir Lukman,Pendidikan,54.0,13.0,3702610.0,17186969.0,Bukalapak,358.0,Belum Terdaftar,2000.0,13484359.0,201000000.0,358.0
UD. Putra Saputranegara Abel,Jasa,21.0,47.0,775156.0,31419712.0,Tokopedia,652.0,Terdaftar,2012.0,30644556.0,204000000.0,652.0
UD. Winda Wacana,Kesehatan,31.0,47.0,1377517.0,18098821.0,Tokopedia,28.0,Terdaftar,2010.0,16721304.0,234000000.0,28.0
UD. Qila Widjaja Gani,Perdagangan,43.0,90.0,1586001.0,34606366.0,Shopee,245.0,Belum Terdaftar,2005.0,33020365.0,399000000.0,245.0
UD. Esa Jatiwangi Chiko,Pendidikan,80.0,85.0,6248054.0,15243823.0,Lazada,826.0,Terdaftar,2000.0,8995769.0,495000000.0,826.0
UD. Pasha Jayeng Uci,Pendidikan,72.0,37.0,5529067.0,38053746.0,Website Sendiri,109.0,Belum Terdaftar,2022.0,32524679.0,327000000.0,109.0
UD. Abel Tirta,Perdagangan,51.0,6.0,6313397.0,4853500.0,Lazada,444.0,Belum Terdaftar,2002.0,-1459897.0,171000000.0,444.0
UD. Lea Sundawa,Jasa,32.0,32.0,1768314.9999999995,13429670.0,Website Sendiri,688.0,Belum Terdaftar,2006.0,11661355.0,192000000.0,688.0
UD. Juli Sangga,Pendidikan,96.0,96.0,7172986.0,42971925.0,Bukalapak,207.0,Terdaftar,2005.0,35798939.0,576000000.0,207.0
UD. Sani Santosa,Pendidikan,1.0,23.0,1901865.0,24950835.0,Website Sendiri,279.0,Terdaftar,2009.0,23048970.0,72000000.0,279.0
UD. Wenny Tejakusuma,Jasa,13.0,25.0,3396925.0,20025406.0,Lazada,677.0,Terdaftar,2014.0,16628481.0,114000000.0,677.0
UD. Fatimah Galang,Kesehatan,60.0,49.0,2295540.0,46525030.0,Website Sendiri,424.0,Belum Terdaftar,2004.0,44229490.0,327000000.0,424.0
UD. Mario Merdeka,Perdagangan,96.0,41.0,7473589.0,35990142.0,Website Sendiri,706.0,Belum Terdaftar,2011.0,28516553.0,411000000.0,633.2
UD. Widi Wijaya,Jasa,64.0,94.0,5886952.0,19038198.0,Bukalapak,694.0,Belum Terdaftar,2022.0,13151246.0,474000000.0,694.0
UD. Hanafi Prawira,Pendidikan,85.0,90.0,1156872.0,27630414.0,Website Sendiri,483.0,Belum Terdaftar,2004.0,26473542.0,525000000.0,483.0
UD. Qomar Jati,Jasa,29.0,12.0,7933871.0,26750601.0,Shopee,124.0,Terdaftar,2009.0,18816730.0,123000000.0,124.0
UD. Karla Sumringah Valen,Kesehatan,26.0,30.0,6226861.0,17621412.0,Bukalapak,911.0,Belum Terdaftar,2001.0,11394551.0,168000000.0,911.0
UD. Qayla Cempaka,Kesehatan,63.0,95.0,3316358.0,48776356.0,Bukalapak,307.0,Belum Terdaftar,2008.0,45459998.0,474000000.0,307.0
UD. Lutfi Mahkota,Perdagangan,32.0,22.0,6937418.0,4166909.0,Shopee,524.0,Terdaftar,2000.0,-2770509.0,162000000.0,524.0
UD. Lintang Bima,Jasa,52.0,36.0,6137699.0,44061873.0,Bukalapak,402.0,Belum Terdaftar,2009.0,37924174.0,264000000.0,402.0
UD. Ari Atma,Jasa,79.0,58.0,1641502.0,42825603.0,Bukalapak,780.0,Belum Terdaftar,2005.0,41184101.0,411000000.0,780.0
UD. Gracia Satriya,Perdagangan,9.0,57.0,4085064.0,18800301.0,Lazada,90.0,Belum Terdaftar,2007.0,14715237.0,198000000.0,90.0
UD. Winda Sasmita,Kesehatan,26.0,15.0,4866422.0,45748712.0,Lazada,292.0,Belum Terdaftar,2024.0,40882290.0,123000000.0,292.0
UD. Bella Wisnu,Jasa,36.0,38.0,2344040.0,39444092.0,Tokopedia,572.0,Terdaftar,2022.0,37100052.0,222000000.0,572.0
UD. Ina Sangkala,Jasa,1.0,71.0,9731767.0,41609560.0,Tokopedia,535.0,Belum Terdaftar,2005.0,31877793.0,216000000.0,535.0
UD. Mila Prabawa,Jasa,93.0,81.0,6878570.0,17304368.0,Bukalapak,366.0,Belum Terdaftar,2016.0,10425798.0,522000000.0,366.0
UD. Umi Mahendra,Perdagangan,42.0,90.0,1523963.0,33403947.0,Bukalapak,497.0,Terdaftar,2018.0,31879984.0,396000000.0,497.0
UD. Rahmat Jatiwangi,Jasa,82.0,8.0,7052594.0,8844560.999999998,Shopee,760.0,Belum Terdaftar,2015.0,1791967.0,270000000.0,760.0
UD. Zera Adiwarna,Pendidikan,18.000000000000004,63.0,2504782.0,15496495.0,Shopee,698.0,Belum Terdaftar,2012.0,12991713.0,243000000.0,698.0
UD. Indah Putra,Kesehatan,98.0,91.0,2667709.0,6915639.0,Bukalapak,781.0,Belum Terdaftar,2013.0,4247930.0,567000000.0,781.0
UD. Erlangga Jayaningrat,Pendidikan,10.0,21.0,9190873.0,32682850.0,Website Sendiri,755.0,Belum Terdaftar,2024.0,23491977.0,93000000.0,755.0
UD. Novi Sehat,Jasa,51.0,74.0,9193102.0,49158546.0,Lazada,185.0,Terdaftar,2024.0,39965444.0,375000000.0,185.00000000000006
UD. Lana Baskara,Kesehatan,31.0,53.0,2944461.0,30207785.0,Website Sendiri,209.0,Belum Terdaftar,2018.0,27263324.0,252000000.0,209.0
UD. Clarissa Mandiri,Pendidikan,79.0,21.0,3693010.0,40132917.0,Lazada,404.0,Belum Terdaftar,2007.0,36439907.0,300000000.0,404.0
UD. Ujang Suci,Perdagangan,80.0,13.0,7804034.0,33841140.0,Bukalapak,326.0,Belum Terdaftar,2018.0,26037106.0,279000000.0,326.0
UD. Joko Manik Wahyu,Perdagangan,28.0,86.0,4837166.0,24128019.0,Lazada,95.0,Terdaftar,2013.0,19290853.0,342000000.0,95.00000000000006
UD. Wawan Trisakti,Kesehatan,83.0,65.0,3652277.0,47375078.0,Tokopedia,957.0,Terdaftar,2021.0,43722801.0,444000000.0,957.0
UD. Mega Jayengpati,Perdagangan,35.0,78.0,6653480.0,19272224.0,Bukalapak,892.0,Terdaftar,2018.0,12618744.0,339000000.0,892.0
UD. Diyan Saputranegara,Perdagangan,46.0,49.0,7240315.0,21485486.0,Bukalapak,42.0,Terdaftar,2010.0,14245171.0,285000000.0,42.0
UD. Odie Sulaksana Fikri,Pendidikan,87.0,4.0,6868092.0,1752256.0,Tidak Ada,371.0,Terdaftar,2021.0,-5115836.0,273000000.0,371.0
UD. Uci Yudhistira,Perdagangan,42.0,92.0,7294278.0,40148264.0,Shopee,181.00000000000006,Belum Terdaftar,2019.0,32853986.0,402000000.0,181.0
UD. Ujang Winata,Kesehatan,51.0,96.0,1313542.0,29732397.0,Bukalapak,809.0,Terdaftar,2014.0,28418855.0,441000000.0,809.0
UD. Indah Saprahan,Pendidikan,52.0,93.0,3405040.0,20919660.0,Bukalapak,737.0,Belum Terdaftar,2015.0,17514620.0,435000000.0,737.0
UD. Vega Setia,Kesehatan,67.0,16.0,5297031.8,6711890.0,Bukalapak,779.0,Terdaftar,2012.0,4699119.0,249000000.0,779.0
UD. Poppy Arsana,Perdagangan,4.0,0.0,3273048.0,39560431.0,Website Sendiri,872.0,Belum Terdaftar,2010.0,36287383.0,12000000.0,872.0
UD. Khayla Wisnu,Pendidikan,82.0,13.0,9227963.0,12212208.0,Lazada,656.0,Belum Terdaftar,2010.0,2984245.0,285000000.0,656.0
UD. Yani Sulaksana Yuli,Jasa,47.0,54.0,4551002.0,48724744.0,Tokopedia,444.0,Terdaftar,2014.0,44173742.0,303000000.0,444.0
UD. Jay Mayang,Pendidikan,23.0,16.0,4508365.0,18373965.0,Bukalapak,734.0,Belum Terdaftar,2005.0,11929180.600000001,117000000.0,734.0
UD. Asep Sudharmo,Kesehatan,0.0,8.0,5032670.0,30992002.0,Lazada,839.0,Terdaftar,2008.0,25959332.0,24000000.0,839.0
UD. Balqis Sahaja,Kesehatan,98.0,98.0,5293762.0,34814760.0,Tokopedia,789.0,Belum Terdaftar,2002.0,29520998.0,588000000.0,789.0
UD. Harun Satria,Pendidikan,1.0,94.0,5076098.0,46138244.0,Lazada,332.0,Belum Terdaftar,2021.0,41062146.0,285000000.0,332.0
UD. Jojo Puri,Perdagangan,9.0,11.0,9338237.0,19250454.0,Bukalapak,249.0,Belum Terdaftar,2018.0,9912217.0,60000000.0,249.0
UD. Vina Wicaksana Jojo,Kesehatan,62.0,65.0,5484020.0,25174597.0,Lazada,601.0,Belum Terdaftar,2009.0,19690577.0,381000000.0,601.0
UD. Gilang Mulyo,Kesehatan,58.0,14.0,4206425.0,38337171.0,Lazada,287.0,Terdaftar,2009.0,34130746.0,216000000.0,287.0
UD. Tari Nirmala,Pendidikan,5.0,33.0,4271180.0,19817212.0,Lazada,468.0,Belum Terdaftar,2020.0,15546032.0,114000000.0,468.0
UD. Intan Asmaralaya,Pendidikan,83.0,36.0,1818053.0,37360142.0,Bukalapak,944.0,Terdaftar,2005.0,35542089.0,357000000.0,944.0
UD. Gadis Cinta,Perdagangan,82.0,52.0,7544011.0,11995609.0,Shopee,150.99999999999994,Terdaftar,2013.0,4451598.0,402000000.0,151.0
UD. Pandu Ananta,Pendidikan,47.0,40.0,5957944.0,11683833.0,Shopee,243.0,Belum Terdaftar,2024.0,5725888.999999998,261000000.0,243.0
UD. Yola Ayodya,Kesehatan,35.0,93.0,5226158.0,7417391.0,Lazada,598.0,Terdaftar,2004.0,2191233.0,384000000.0,598.0
UD. Joko Kinarya,Kesehatan,47.0,77.0,1602758.0,38416243.0,Bukalapak,793.0,Terdaftar,2003.0,36813485.0,372000000.0,793.0
UD. Zulkarnaen Galuh,Jasa,28.0,3.0,9642319.0,37195174.0,Lazada,869.0,Terdaftar,2012.0,27552855.0,93000000.0,869.0
UD. Qomar Wiyata,Kesehatan,40.0,7.0,3942747.0,5783669.0,Shopee,592.0,Belum Terdaftar,2002.0,1840922.0,141000000.0,592.0
UD. Khalid Brata,Pendidikan,87.0,86.0,4504312.0,13252800.0,Website Sendiri,283.0,Belum Terdaftar,2012.0,8748488.0,519000000.0,283.0
UD. Opik Purnama,Perdagangan,69.0,70.0,4454116.0,15437764.0,Website Sendiri,344.0,Terdaftar,2006.0,10983648.0,426000000.0,344.0
UD. Qisha Pramana,Jasa,31.0,16.0,2776147.0,44053461.0,Lazada,219.0,Terdaftar,2011.0,41277314.0,141000000.0,219.0
UD. Budi Buana,Kesehatan,4.0,21.0,8497269.0,43205033.0,Shopee,568.0,Terdaftar,2010.0,34707764.0,75000000.0,568.0
UD. Ulil Sukma,Perdagangan,84.0,89.0,778040.0,36243896.0,Website Sendiri,724.0,Terdaftar,2022.0,35465856.0,519000000.0,724.0
UD. Carissa Agastya,Perdagangan,16.0,7.0,686550.0,18385460.0,Website Sendiri,468.0,Belum Terdaftar,2002.0,17698910.0,69000000.0,468.0
UD. Candra Taruna,Kesehatan,23.0,21.0,8132110.0,34806855.0,Lazada,572.0,Terdaftar,2017.0,26674745.0,132000000.0,572.0
UD. Yora Jatinagara,Jasa,90.0,39.0,4016479.0,18021449.0,Lazada,560.0,Belum Terdaftar,2016.0,14004970.0,387000000.0,560.0
UD. Farid Tejakencana,Pendidikan,81.0,21.0,7690848.0,28477741.0,Shopee,666.0,Belum Terdaftar,2021.0,20786893.0,306000000.0,666.0
UD. Fatiah Anggara,Jasa,85.0,4.0,5381923.0,20027645.0,Tokopedia,625.0,Belum Terdaftar,2013.0,14645722.0,267000000.0,625.0
UD. Diva Nirbayu,Pendidikan,5.0,8.0,7904447.0,11695086.0,Website Sendiri,893.0,Terdaftar,2010.0,3790639.000000002,39000000.0,893.0
UD. Candra Darussalam,Kesehatan,27.0,59.0,855865.0,48913295.0,Tokopedia,69.0,Belum Terdaftar,2020.0,48057430.0,258000000.0,69.0
UD. Evan Kusen Yusuf,Pendidikan,19.0,18.999999999999996,6697859.0,28153719.0,Website Sendiri,783.0,Belum Terdaftar,2006.0,21455860.0,114000000.0,783.0
UD. Hilmi Baruna,Pendidikan,79.0,85.0,8182978.0,26388827.0,Website Sendiri,567.0,Terdaftar,2018.0,18205849.0,492000000.0,567.0
UD. Gerry Wening,Perdagangan,18.000000000000004,33.0,3453189.0,24068727.0,Website Sendiri,846.0,Belum Terdaftar,2003.0,20615538.0,153000000.0,846.0
UD. Abdi Putri,Kesehatan,7.0,98.0,9940673.0,5323836.0,Lazada,298.0,Belum Terdaftar,2010.0,-4616837.0,315000000.0,298.0
UD. Nazar Sahaja,Perdagangan,17.0,35.0,6435675.0,39564864.0,Tokopedia,350.0,Terdaftar,2010.0,33129189.0,156000000.0,350.0
UD. Qais Selaras,Jasa,36.0,82.0,1715028.9999999995,29695550.0,Bukalapak,126.0,Terdaftar,2000.0,27980521.0,354000000.0,126.0
UD. Qiana Pusaka,Kesehatan,60.0,91.0,9550878.0,15784749.0,Lazada,704.0,Terdaftar,2002.0,6233871.0,453000000.0,704.0
UD. Damar Kalbu,Pendidikan,44.0,70.0,2855746.0,11987315.0,Website Sendiri,642.0,Terdaftar,2017.0,9131569.0,342000000.0,642.0
UD. Elsa Sangkala Erni,Kesehatan,94.0,37.0,6492115.0,36149009.0,Tokopedia,722.0,Terdaftar,2005.0,29656894.0,393000000.0,722.0
UD. Elyas Saputrautama,Perdagangan,37.0,66.0,611045.0,15630973.0,Tokopedia,170.0,Belum Terdaftar,2022.0,15019928.0,309000000.0,170.0
UD. Pipit Ayodya Karla,Kesehatan,1.0,31.0,5109506.0,38842662.0,Shopee,718.0,Terdaftar,2001.0,33733156.0,96000000.0,718.0
UD. Yani Adyatma,Pendidikan,54.0,45.0,1299734.0000000005,42529451.0,Lazada,797.0,Terdaftar,2015.0,41229717.0,297000000.0,797.0
UD. Fitri Bima,Jasa,95.0,94.0,8785838.0,8803049.000000002,Bukalapak,672.0,Belum Terdaftar,2022.0,17211.0,567000000.0,672.0
UD. Dora Cahyaningrat,Pendidikan,14.0,19.6,2029817.0,3195630.0,Shopee,302.0,Terdaftar,2002.0,1165813.0,114000000.0,302.0
UD. Ojan Asa,Pendidikan,58.0,63.0,5417920.0,5809845.0,Tokopedia,491.0,Belum Terdaftar,2005.0,391925.0,363000000.0,491.0
UD. Habib Brata Niken,Pendidikan,74.0,32.0,7867576.0,25235366.0,Shopee,473.0,Belum Terdaftar,2023.0,17367790.0,318000000.0,473.0
UD. Riko Asa,Pendidikan,4.0,46.0,3455896.0,44425572.0,Website Sendiri,265.0,Terdaftar,2014.0,40969676.0,150000000.0,265.0
